Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
28,Male,Berlin,Data Scientist,6,6,Lead,60000,0,60000,55000,0,55000,25,Product
28,Male,Cologne,Software Engineer,5,1,Middle,90000,0,90000,75000,0,75000,27,Product
28,Male,Berlin,QA Engineer,5,1,Middle,85000,0,85000,75000,0,75000,28,Product
28,Male,Berlin,Data Engineer,6,1.5,Middle,72000,0,72000,56000,0,56000,28,Product
28,Male,Berlin,Designer (UI/UX),11,2,Senior,70200,0,70200,70200,0,70200,30,Product
28,Male,Berlin,Frontend Developer,2,2,Junior,58000,0,58000,55000,0,55000,24,Startup
28,Male,Sevilla,DatabEngineer,4,0,Middle,75000,0,75000,70000,0,70000,27,Startup
28,Male,Berlin,Software Engineer,3,2,Middle,80000,10000,90000,67000,0,67000,27,Startup
28,Male,Munich,Software Engineer,5,4,Middle,70000,0,70000,70000,850,70850,27,Startup
28,Male,Rome,ML Engineer,2,0,Middle,103000,200000,303000,92000,25000,117000,29,Startup
28,Male,Brussels,Robotics Engineer,3,0,Middle,80000,13500,93500,64000,64000,128000,27,Startup
28,Male,Berlin,Frontend Developer,7,5,Middle,78000,4000,82000,61000,0,61000,27,Startup
28,Male,Berlin,Backend Developer,5,1,Senior,80000,4000,84000,80000,0,80000,30,Startup
28,Male,Berlin,Software Engineer,8,3,Lead,68000,0,68000,68000,0,68000,26,Startup
29,Male,Berlin,Software Engineer,12,3,Senior,54000,6000,60000,45000,0,45000,30,Consulting 
29,Male,Munich,Software Engineer,7,3,Senior,58000,5800,63800,58000,101,58101,30,Consulting 
29,Male,Stuttgart ,Software Engineer,7,5,Middle,74000,6000,80000,74000,6000,80000,28,Consulting 
29,Male,Berlin,Software Engineer,7,5,Senior,95500,14500,110000,94000,7500,101500,30,Consulting 
29,Male,Berlin,Backend Developer,8,1.5,Middle,54000,54000,108000,54000,54000,108000,28,Consulting 
29,Male,Berlin,Mobile Developer,8,4,Senior,60000,60000,120000,60000,60000,120000,30,Consulting 
29,Male,Munich,Data Scientist,4,4,Middle,80000,0,80000,80000,0,80000,28,Education
29,Male,Berlin,QA Engineer,9,2,Senior,72000,0,72000,68000,0,68000,30,Non-tech retail
29,Male,Munich,Software Engineer,4,4,Middle,77000,0,77000,70000,0,70000,28,Product
29,Male,Berlin,Backend Developer,9,6,Senior,43000,0,43000,43000,0,43000,30,Product
29,Male,Berlin,Backend Developer,11,2,Senior,80000,0,80000,75000,0,75000,30,Product
29,Male,Berlin,Backend Developer,9,5,Senior,74000,0,74000,69000,0,69000,30,Product
29,Male,Berlin,Backend Developer,5,5,Senior,65000,6500,71500,40000,0,40000,30,Product
29,Male,Barcelona,Data Scientist,0,0,Junior,25000,1000,26000,25000,700,25700,24,Product
29,Male,Berlin,AI Management,6,6,Head,17500,1250,18750,16000,1100,17100,22,Product
29,Male,Berlin,Frontend Developer,7,2,Senior,85000,5000,90000,72000,3000,75000,30,Product
29,Male,Hamburg,Backend Developer,7,3,Middle,84700,1000,85700,83000,3500,86500,29,Product
