Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
34,Female,Berlin,Designer (UI/UX),10,6,Senior,68000,2000,70000,65000,5000,70000,30,Product
34,Female,Berlin,Software Engineer,9,3,Senior,100000,10000,110000,85000,10000,95000,30,Product
34,Female,Hildesheim ,QA Engineer,11,2,Senior,70000,800,70800,65000,67000,132000,30,Product
34,Female,Berlin,,13,3,Principal,110000,100000,210000,110000,100000,210000,29,Product
34,Female,Berlin,QA Engineer,11,11,Senior,74000,0,74000,72000,0,72000,30,Product
35,Female,Berlin,Product Manager,5,2,Senior,66000,0,66000,66000,0,66000,30,Bank 
35,Female,Berlin,Product Manager,13,6,Senior,65000,0,65000,65000,0,65000,30,Product
35,Female,Berlin,Frontend Developer,12,5,Middle,73000,1000,74000,65000,1000,66000,28,Product
35,Female,Frankfurt,Software Engineer,1,1,Junior,120000,50000,170000,95000,40000,135000,24,Product
35,Female,Berlin,Frontend Developer,2,2,Junior,85000,90000,175000,82000,87000,169000,24,Product
35,Female,Stuttgart ,QA Manager ,9,4,Middle,75000,0,75000,75000,0,75000,28,Product
35,Female,Munich,Backend Developer,4,4,Middle,75000,95000,170000,74000,94000,168000,28,Startup
35,Female,Berlin,Reporting Engineer,3,2,Middle,80000,0,80000,80000,0,80000,29,Startup
36,Female,Berlin,QA Engineer,14,7,Lead,57000,1500,58500,54000,100,54100,26,Bank
36,Female,Berlin,Recruiter,11,4,Senior,60000,0,60000,60000,0,60000,25,Product
36,Female,Berlin,DevOps,1,3,Middle,38350,40950,79300,33800,36400,70200,27,Product
36,Female,Erlangen,Project Manager,14,2,Middle,63000,6300,69300,60000,6000,66000,28,Startup
36,Female,Berlin,Data Scientist,5,5,Senior,90000,10000,100000,75000,0,75000,30,Startup
37,Female,Berlin,Data Scientist,2,2,Middle,80000,4000,84000,80000,2000,82000,28,Consulting 
37,Female,Hamburg,QA Manager,7,7,Middle,72000,0,72000,65000,0,65000,29,Product
38,Female,Berlin,Backend Developer,12,6,Senior,75000,0,75000,64000,6000,70000,30,corporate incubator
38,Female,Munich,QA Engineer,6,2,Middle,83000,17000,100000,80000,10000,90000,27,Product
38,Female,Regensburg,ML Engineer,3,3,Middle,115000,70000,185000,115000,60000,175000,28,Product
39,Female,Stuttgart ,Project manager ,13,13,Senior,67000,5000,72000,65000,4000,69000,31,Consulting 
39,Female,Berlin,Data Scientist,2.5,2,Junior,40000,0,40000,40000,0,40000,25,Product
39,Female,Berlin,Software Engineer,10,10,Senior,93000,10000,103000,93000,11000,104000,30,Product
40,Female,Berlin,Fullstack Developer,8,8,Senior,65000,0,65000,65000,0,65000,30,Product
40,Female,Berlin,Software Engineer,1.5,1.5,Junior,80000,0,80000,72000,0,72000,24,Product
40,Female,Munich,Software Engineer,20,7,Middle,85000,3000,88000,75000,0,75000,29,Startup
41,Female,Munich,Data Engineer,12,12,Senior,90000,7000,97000,97000,87000,184000,31,Consulting 
42,Female,Berlin,QA Engineer,5,5,Middle,85000,85000,170000,80000,80000,160000,27,Product
45,Female,Berlin,Product Manager,15,7,Lead,65000,0,65000,65000,0,65000,26,Product
